guid,listing_id,url,title,price_original,currency,price_kes,price_tier,price_tier_encoded,price_delta,relative_price_ratio,category,category_encoded,category_popularity,subcategory,subcategory_encoded,location,location_type,location_type_encoded,domain,domain_encoded,domain_popularity,description,seller_name,image_count,has_images,image_rich,title_length,title_word_count,has_description,description_length,timestamp,crawl_source,crawl_source_encoded,first_seen,days_listed,days_since_posting,freshness_score,is_weekend,hour_of_day,day_of_week,month,quarter,season,season_encoded,currency_encoded
-mNbrnTP3fAbnFbmOHnKYaXR,JIJI-F22FC6893AEE,https://jiji.com.ng/electronics-infinix-laptop-4gb-ram---no-warranty-mNbrnTP3fAbnFbmOHnKYaXR,Infinix Laptop 4GB RAM - No Warranty,158310.0,NGN,13456.35,economy,1,0.0,0.77,Electronics,1,22.0,Laptops,26,Major City,other_area,2,jiji.com.ng,4,0.85,Top quality item at fair price. No time wasters please. View in Major City.,Direct Owner,3,1,0,36,7,1,75,2024-02-18 10:07:14,common_crawl,0,2024-02-18 10:07:14,0,300,0.09090909090909091,1,10,6,2,1,Summer,2,1
-mwmq6OLkTkx9NIQ0Wobtqn6,JIJI-4FADD1474D13,https://jiji.com.ng/jobs-shirt---good-mwmq6OLkTkx9NIQ0Wobtqn6,Shirt - Good,130260.0,NGN,11072.1,economy,1,0.0,0.46,Jobs,4,8.0,Healthcare,20,Major City,other_area,2,jiji.com.ng,4,0.85,Urgent sale! Moving out of country. Priced for quick sale. Slightly negotiable.,Premium Items,3,1,0,12,3,1,79,2022-01-24 04:10:14,hybrid,1,2022-01-24 04:10:14,0,1055,0.027649769585253458,0,4,0,1,1,Summer,2,1
-mvsjaSS8VFgM0Fmxk754LEg,JIJI-9B50BD62BAC2,https://jiji.com.ng/electronics-apple-camera-elite---professional-grade-mvsjaSS8VFgM0Fmxk754LEg,Apple Camera Elite - Professional Grade,178640.0,NGN,15184.4,economy,1,0.0,0.87,Electronics,1,22.0,TVs,35,Major City,other_area,2,jiji.com.ng,4,0.85,Brand new condition. Bought recently but no longer needed. First to see will buy.,Kenyan Seller,1,1,0,39,6,1,81,2023-05-23 08:10:51,hybrid,1,2023-05-23 08:10:51,0,571,0.04991680532445923,0,8,1,5,2,Autumn,0,1
-mneNo41eoPni6JDWYlgAACT,JIJI-2E1ED4A5FCBD,https://jiji.co.ke/fashion-sports-kit-mdem-complete-set-mneNo41eoPni6JDWYlgAACT,Sports Kit Mdem Complete Set,95000.0,KES,95000.0,mid_range,3,0.0,23.38,Fashion,2,12.0,Clothing,11,Roysambu,other_area,2,jiji.co.ke,0,1.0,Well maintained clothing. Reason for selling: upgrading. All documents available.,Kenyan Seller,5,1,1,28,5,1,81,2024-09-12 07:46:56,wayback,2,2024-09-12 07:46:56,0,93,0.24390243902439027,0,7,3,9,3,Spring,1,0
-may5WrRTWPElndTdtdD5GdF,JIJI-C6023BB19EEF,https://jiji.co.za/home & garden-jacket---mint-may5WrRTWPElndTdtdD5GdF,Jacket - Mint,45360.0,ZAR,353808.0,mid_range,3,0.0,38.97,Home & Garden,3,10.0,Furniture,18,Major City,other_area,2,jiji.co.za,3,0.65,Price negotiable. Call or WhatsApp for more details. Delivery available within Major City.,Nakuru Properties,2,1,0,13,3,1,90,2023-03-13 18:25:07,common_crawl,0,2023-03-13 18:25:07,0,641,0.044709388971684055,0,18,0,3,1,Autumn,0,4
-mwjZRL9OaYsP6ihgIqLSmNq,JIJI-B948C47239BC,https://jiji.co.ke/property-vacant-plot-nakuru---near-main-road-mwjZRL9OaYsP6ihgIqLSmNq,Vacant Plot Nakuru - Near Main Road,38764490.0,KES,38764490.0,luxury,2,0.0,5.38,Property,5,18.0,Houses,21,Machakos,other_area,2,jiji.co.ke,0,1.0,Brand new condition. Bought recently but no longer needed. First to see will buy.,Kisumu Motors,5,1,1,35,7,1,81,2024-01-17 01:27:09,hybrid,1,2024-01-17 01:27:09,0,332,0.08287292817679558,0,1,2,1,1,Summer,2,0
-mgW2zMj518Y2bTu5X1YqWg2,JIJI-427A11203682,https://jiji.com.ng/home & garden-dress---excellent-mgW2zMj518Y2bTu5X1YqWg2,Dress - Excellent,180000.0,NGN,15300.0,economy,1,749.9479083920338,1.69,Home & Garden,3,10.0,Kitchen,24,Major City,other_area,2,jiji.com.ng,4,0.85,Ready for immediate pickup. Can deliver within Nairobi area. Cash or M-Pesa accepted.,Nakuru Properties,4,1,1,17,3,1,85,2024-06-08 12:35:09,hybrid,1,2024-06-08 12:35:09,0,189,0.136986301369863,1,12,5,6,2,Winter,3,1
-m9h3lcBGYQ6TmA65MPh3FPu,JIJI-DC608ADBD8F2,https://jiji.com.ng/fashion-pants-cotton-premium-quality-m9h3lcBGYQ6TmA65MPh3FPu,Pants Cotton Premium Quality,53310.0,NGN,4531.35,budget,0,0.0,1.12,Fashion,2,12.0,Bags,3,Major City,other_area,2,jiji.com.ng,4,0.85,Brand new condition. Bought recently but no longer needed. First to see will buy.,Nairobi Deals,3,1,0,28,4,1,81,2024-11-21 23:02:40,hybrid,1,2024-11-21 23:02:40,0,22,0.5769230769230769,0,23,3,11,4,Spring,1,1
-mtYjc9LVC2JSxyjQ312WnXR,JIJI-F3AE456F37D8,https://jiji.com.ng/electronics-smart-watch-sony---fitness-tracker-mtYjc9LVC2JSxyjQ312WnXR,Smart Watch Sony - Fitness Tracker,73090.0,NGN,6212.65,economy,1,0.0,0.36,Electronics,1,22.0,Audio,2,Major City,other_area,2,jiji.com.ng,4,0.85,Top quality item at fair price. No time wasters please. View in Major City.,Nakuru Properties,2,1,0,34,6,1,75,2022-06-08 10:24:10,hybrid,1,2022-06-08 10:24:10,0,920,0.031578947368421054,0,10,2,6,2,Winter,3,1
-mejxjnzuCdZyV6b2JD6sy3Z,JIJI-159998141A7C,https://jiji.co.za/property-office-space-50m²---nairobi-cbd-cbd-mejxjnzuCdZyV6b2JD6sy3Z,Office Space 50m² - Nairobi CBD CBD,72158300.0,ZAR,562834740.0,luxury,2,0.0,78.1,Property,5,18.0,Office,31,Major City,other_area,2,jiji.co.za,3,0.65,Ready for immediate pickup. Can deliver within Nairobi area. Cash or M-Pesa accepted.,Amazon Export,2,1,0,35,7,1,85,2023-03-10 16:33:18,wayback,2,2023-03-10 16:33:18,0,644,0.04451038575667656,0,16,4,3,1,Autumn,0,4
-mUZpfbH9vOWOU6mbjhPInRV,JIJI-9C7BB3718E01,https://jiji.co.ke/vehicles-nissan-pro---mint---negotiable-mUZpfbH9vOWOU6mbjhPInRV,Nissan Pro - Mint - Negotiable,1832550.0,KES,1832550.0,premium,4,235455.24043221527,5.18,Vehicles,7,25.0,Spare Parts,34,Kakamega,other_area,2,jiji.co.ke,0,1.0,Ready for immediate pickup. Can deliver within Nairobi area. Cash or M-Pesa accepted.,Direct Owner,2,1,0,30,6,1,85,2024-11-02 23:34:34,wayback,2,2024-11-02 23:34:34,0,41,0.4225352112676056,1,23,5,11,4,Spring,1,0
-mg7NZRBT7qYHDBTq0Zf2pCL,JIJI-BD2610DD462B,"https://jiji.co.ug/electronics-infinix-tv-50""-smart---4k-display-mg7NZRBT7qYHDBTq0Zf2pCL","Infinix TV 50"" Smart - 4K Display",73300.0,UGX,5717.4,economy,1,0.0,0.33,Electronics,1,22.0,Mobile Phones,29,Major City,other_area,2,jiji.co.ug,2,0.25,Imported item. Still under warranty. Excellent investment opportunity.,Nakuru Properties,3,1,0,33,7,1,70,2023-05-14 11:08:55,hybrid,1,2023-05-14 11:08:55,0,580,0.049180327868852465,1,11,6,5,2,Autumn,0,3
-mGAUuRqphlhHVlnES8Grgmo,JIJI-695E5E247AE7,https://jiji.co.za/vehicles-subaru-premium---turbo---full-option-mGAUuRqphlhHVlnES8Grgmo,Subaru Premium - Turbo - Full Option,3222040.0,ZAR,25131912.0,luxury,2,0.0,70.98,Vehicles,7,25.0,Cars,8,Major City,other_area,2,jiji.co.za,3,0.65,Brand new condition. Bought recently but no longer needed. First to see will buy.,Nairobi Deals,6,1,1,36,7,1,81,2022-11-02 20:29:32,common_crawl,0,2022-11-02 20:29:32,0,772,0.03740648379052369,0,20,2,11,4,Spring,1,4
-mIzKMWx4sKAJd7gVMqfoIjz,JIJI-F2CFA6CC26DD,https://jiji.co.tz/fashion-honda-handbag-genuine-leather-mIzKMWx4sKAJd7gVMqfoIjz,Honda Handbag Genuine Leather,6240.0,TZS,330.72,budget,0,0.0,0.08,Fashion,2,12.0,Jewelry,23,Major City,other_area,2,jiji.co.tz,1,0.35,Imported item. Still under warranty. Excellent investment opportunity.,Quality Goods KE,3,1,0,29,4,1,70,2024-04-04 09:54:43,common_crawl,0,2024-04-04 09:54:43,0,254,0.1056338028169014,0,9,3,4,2,Autumn,0,2
-mL3TLboP1KbVYJVkGBr9BY8,JIJI-0F6281F284A6,https://jiji.co.tz/property-1br-apartment-thika-road---serviced-mL3TLboP1KbVYJVkGBr9BY8,1BR Apartment Thika Road - Serviced,11762070.0,TZS,623389.71,premium,4,0.0,0.09,Property,5,18.0,Commercial,12,Major City,other_area,2,jiji.co.tz,1,0.35,Brand new condition. Bought recently but no longer needed. First to see will buy.,Kenyan Seller,2,1,0,35,6,1,81,2024-10-17 22:46:13,wayback,2,2024-10-17 22:46:13,0,57,0.3448275862068966,0,22,3,10,4,Spring,1,2
-mI5BRh8LojIIf94ChZESFqZ,JIJI-DCB2B816F5E5,https://jiji.co.ug/animals-pants---mint-mI5BRh8LojIIf94ChZESFqZ,Pants - Mint,48720.0,UGX,3800.16,budget,0,0.0,0.3,Animals,0,2.0,Cats,9,Major City,other_area,2,jiji.co.ug,2,0.25,Ready for immediate pickup. Can deliver within Nairobi area. Cash or M-Pesa accepted.,Kisumu Motors,7,1,1,12,3,1,85,2023-10-22 06:52:07,common_crawl,0,2023-10-22 06:52:07,0,419,0.06681514476614699,1,6,6,10,4,Spring,1,3
-m1ztD4x9XOj7h7ug0g4ai18,JIJI-2295661D3988,https://jiji.co.tz/vehicles-honda-pro-blue---well-maintained-m1ztD4x9XOj7h7ug0g4ai18,Honda Pro Blue - Well Maintained,1180790.0,TZS,62581.87,mid_range,3,0.0,0.18,Vehicles,7,25.0,Motorcycles,30,Major City,other_area,2,jiji.co.tz,1,0.35,Brand new condition. Bought recently but no longer needed. First to see will buy.,Mombasa Trader,2,1,0,32,6,1,81,2023-08-24 13:03:04,hybrid,1,2023-08-24 13:03:04,0,477,0.0591715976331361,0,13,3,8,3,Winter,3,2
-mzQlkLxQEKoNCP3CrHe69s7,JIJI-62906A0E9CA0,https://jiji.co.tz/fashion-pants-cotton-premium-quality-mzQlkLxQEKoNCP3CrHe69s7,Pants Cotton Premium Quality,37100.0,TZS,1966.3,budget,0,0.0,0.48,Fashion,2,12.0,Jewelry,23,Major City,other_area,2,jiji.co.tz,1,0.35,Imported item. Still under warranty. Excellent investment opportunity.,Eldoret Electronics,3,1,0,28,4,1,70,2022-07-18 22:50:42,common_crawl,0,2022-07-18 22:50:42,0,879,0.033003300330033,0,22,0,7,3,Winter,3,2
-mJTfsUkiH8G4ZpZDYUvh7i7,JIJI-D48B4AB67D8A,https://jiji.co.za/home & garden-skirt---good-mJTfsUkiH8G4ZpZDYUvh7i7,Skirt - Good,26450.0,ZAR,206310.0,mid_range,3,0.0,22.72,Home & Garden,3,10.0,Garden,19,Major City,other_area,2,jiji.co.za,3,0.65,Urgent sale! Moving out of country. Priced for quick sale. Slightly negotiable.,Kenyan Seller,1,1,0,12,3,1,79,2024-04-16 04:14:52,wayback,2,2024-04-16 04:14:52,0,242,0.11029411764705882,0,4,1,4,2,Autumn,0,4
